epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
83,500.172,1.40263,1.00319,1.09662,0.71352,0.73099,0.67384,0.42625,1.66547,2.21119,1.21546,7.6993e-05,7.6993e-05,7.6993e-05
84,507.504,1.38161,0.93037,1.09453,0.71343,0.73139,0.6748,0.42643,1.67021,2.21806,1.21571,7.50295e-05,7.50295e-05,7.50295e-05
85,513.107,1.38536,0.92332,1.10495,0.7134,0.73153,0.67475,0.42737,1.67203,2.20888,1.21512,7.3066e-05,7.3066e-05,7.3066e-05
86,518.61,1.38484,0.89835,1.11105,0.71425,0.73332,0.67411,0.42652,1.66966,2.2197,1.21448,7.11025e-05,7.11025e-05,7.11025e-05
87,525.693,1.35866,0.87965,1.09509,0.71227,0.73563,0.67506,0.42805,1.67343,2.21773,1.21399,6.9139e-05,6.9139e-05,6.9139e-05
88,531.377,1.39615,0.97306,1.10048,0.71333,0.73552,0.67576,0.42855,1.67281,2.21777,1.21419,6.71755e-05,6.71755e-05,6.71755e-05
89,538.862,1.36186,0.93,1.0806,0.71405,0.73594,0.67683,0.42927,1.67436,2.20681,1.21234,6.5212e-05,6.5212e-05,6.5212e-05
90,544.419,1.38525,0.93114,1.07667,0.71445,0.735,0.67621,0.42947,1.67462,2.20467,1.2114,6.32485e-05,6.32485e-05,6.32485e-05
91,550.075,1.39526,0.93239,1.07582,0.71575,0.7344,0.67629,0.42992,1.67397,2.19833,1.21118,6.1285e-05,6.1285e-05,6.1285e-05
92,558.258,1.45764,1.09731,1.10836,0.71376,0.73599,0.67638,0.42971,1.66621,2.20233,1.21149,5.93215e-05,5.93215e-05,5.93215e-05
93,562.86,1.37074,0.94943,1.0662,0.71595,0.73391,0.67675,0.43022,1.67674,2.19602,1.21054,5.7358e-05,5.7358e-05,5.7358e-05
94,570.496,1.3538,0.93812,1.10371,0.75434,0.70015,0.67605,0.4287,1.67116,2.20055,1.21045,5.53945e-05,5.53945e-05,5.53945e-05
95,576.627,1.40743,0.96968,1.10763,0.73777,0.71326,0.67696,0.43025,1.67582,2.19672,1.20874,5.3431e-05,5.3431e-05,5.3431e-05
96,582.738,1.42,0.99064,1.10169,0.73668,0.713,0.67648,0.42987,1.67029,2.18862,1.20775,5.14675e-05,5.14675e-05,5.14675e-05
97,588.499,1.37791,0.91549,1.08575,0.75238,0.70416,0.67671,0.42979,1.67437,2.198,1.20851,4.9504e-05,4.9504e-05,4.9504e-05
98,593.958,1.38398,0.92568,1.10288,0.75297,0.70303,0.6778,0.43146,1.67397,2.1901,1.20794,4.75405e-05,4.75405e-05,4.75405e-05
