epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
70,434.491,0.50857,0.61435,0.79769,0.89618,0.82976,0.80532,0.73033,0.38912,0.48655,0.78178,0.000102519,0.000102519,0.000102519
71,441.328,0.50607,0.6247,0.79463,0.89611,0.82973,0.80571,0.73063,0.389,0.48394,0.78158,0.000100555,0.000100555,0.000100555
72,447.83,0.49924,0.60809,0.79764,0.89311,0.83436,0.80905,0.73345,0.38832,0.48543,0.78148,9.85915e-05,9.85915e-05,9.85915e-05
73,453.54,0.50392,0.6067,0.79966,0.89403,0.83227,0.80881,0.7336,0.3877,0.48491,0.78145,9.6628e-05,9.6628e-05,9.6628e-05
74,460.537,0.6213,0.77012,0.80498,0.89763,0.83212,0.8087,0.73317,0.38811,0.48236,0.78143,9.46645e-05,9.46645e-05,9.46645e-05
75,465.777,0.49669,0.60722,0.79819,0.897,0.83305,0.80968,0.73495,0.38741,0.48116,0.78134,9.2701e-05,9.2701e-05,9.2701e-05
76,472.554,0.46435,0.55195,0.79361,0.89856,0.83266,0.80951,0.73426,0.38704,0.48096,0.78138,9.07375e-05,9.07375e-05,9.07375e-05
77,478.415,0.49372,0.59641,0.79592,0.89392,0.83441,0.80884,0.73322,0.38676,0.48183,0.78146,8.8774e-05,8.8774e-05,8.8774e-05
78,484.505,0.45134,0.53784,0.79567,0.89406,0.8346,0.80967,0.73326,0.38677,0.48329,0.78153,8.68105e-05,8.68105e-05,8.68105e-05
79,491.277,0.50034,0.61979,0.79969,0.89535,0.83349,0.80943,0.73299,0.387,0.48133,0.78132,8.4847e-05,8.4847e-05,8.4847e-05
80,496.981,0.49403,0.59421,0.79646,0.89494,0.83566,0.81078,0.73424,0.38779,0.48141,0.78129,8.28835e-05,8.28835e-05,8.28835e-05
81,503.677,0.46092,0.54943,0.7941,0.89792,0.83606,0.81238,0.73573,0.3868,0.47888,0.78109,8.092e-05,8.092e-05,8.092e-05
82,509.906,0.51311,0.63566,0.79621,0.89677,0.83518,0.81189,0.73608,0.38603,0.47936,0.78128,7.89565e-05,7.89565e-05,7.89565e-05
83,515.14,0.49509,0.60492,0.79346,0.89788,0.83581,0.81275,0.73686,0.38512,0.47714,0.78092,7.6993e-05,7.6993e-05,7.6993e-05
84,522.105,0.48606,0.57917,0.79618,0.89821,0.83663,0.81351,0.7374,0.38499,0.47775,0.78097,7.50295e-05,7.50295e-05,7.50295e-05
85,527.628,0.48772,0.59287,0.79303,0.8983,0.83676,0.81353,0.73713,0.38571,0.47805,0.78096,7.3066e-05,7.3066e-05,7.3066e-05
86,536.099,0.45073,0.53397,0.79371,0.89841,0.83703,0.8136,0.73677,0.38598,0.47886,0.7811,7.11025e-05,7.11025e-05,7.11025e-05
87,542.056,0.48106,0.58373,0.79223,0.89848,0.83741,0.81391,0.73733,0.38597,0.47811,0.78103,6.9139e-05,6.9139e-05,6.9139e-05
88,547.758,0.49165,0.59615,0.79727,0.89661,0.83693,0.81366,0.73765,0.38521,0.4764,0.7809,6.71755e-05,6.71755e-05,6.71755e-05
89,554.813,0.46977,0.57107,0.79128,0.89612,0.83554,0.81239,0.73565,0.38537,0.47609,0.78095,6.5212e-05,6.5212e-05,6.5212e-05
90,559.985,0.52119,0.65075,0.79635,0.89577,0.83827,0.81434,0.73724,0.38498,0.47388,0.78061,6.32485e-05,6.32485e-05,6.32485e-05
91,566.739,0.48874,0.59716,0.79419,0.89154,0.83725,0.81276,0.73582,0.38577,0.47489,0.78093,6.1285e-05,6.1285e-05,6.1285e-05
92,572.8,0.54892,0.6675,0.79847,0.89081,0.83841,0.81319,0.73603,0.38517,0.47563,0.78096,5.93215e-05,5.93215e-05,5.93215e-05
93,577.98,0.49301,0.59319,0.79478,0.89104,0.83951,0.81445,0.73711,0.38494,0.47389,0.78074,5.7358e-05,5.7358e-05,5.7358e-05
94,584.966,0.47193,0.56241,0.79292,0.89279,0.83903,0.81482,0.73763,0.38458,0.4733,0.78071,5.53945e-05,5.53945e-05,5.53945e-05
95,589.647,0.54825,0.6716,0.79752,0.89569,0.83798,0.81458,0.73793,0.38388,0.4739,0.78057,5.3431e-05,5.3431e-05,5.3431e-05
96,596.416,0.51334,0.63245,0.79611,0.89631,0.83925,0.81619,0.73977,0.38382,0.47346,0.78057,5.14675e-05,5.14675e-05,5.14675e-05
97,602.86,0.4921,0.60294,0.79264,0.89602,0.83893,0.81626,0.74045,0.38403,0.47222,0.78064,4.9504e-05,4.9504e-05,4.9504e-05
98,607.799,0.48825,0.59187,0.79657,0.89518,0.84041,0.81666,0.74105,0.38385,0.47206,0.78059,4.75405e-05,4.75405e-05,4.75405e-05
99,615.033,0.47463,0.56959,0.79415,0.89511,0.83876,0.81593,0.73963,0.3838,0.47345,0.78081,4.5577e-05,4.5577e-05,4.5577e-05
100,620.163,0.4672,0.55359,0.79469,0.89612,0.83875,0.81594,0.73971,0.3848,0.47309,0.78086,4.36135e-05,4.36135e-05,4.36135e-05
101,625.797,0.50164,0.61364,0.79432,0.89621,0.84062,0.8173,0.74092,0.38469,0.47236,0.78081,4.165e-05,4.165e-05,4.165e-05
102,632.657,0.5008,0.6152,0.79768,0.89501,0.8404,0.8167,0.74042,0.38435,0.47208,0.78077,3.96865e-05,3.96865e-05,3.96865e-05
103,638.602,0.46761,0.56275,0.79355,0.89394,0.84152,0.81605,0.7391,0.38389,0.47338,0.78082,3.7723e-05,3.7723e-05,3.7723e-05
104,645.566,0.55855,0.69192,0.80339,0.8934,0.84063,0.81573,0.73867,0.3842,0.47263,0.78072,3.57595e-05,3.57595e-05,3.57595e-05
105,651.149,0.46617,0.55887,0.79393,0.89039,0.83996,0.81443,0.73779,0.38403,0.47183,0.7808,3.3796e-05,3.3796e-05,3.3796e-05
106,656.384,0.4913,0.5844,0.7985,0.88955,0.83942,0.81391,0.73665,0.38402,0.47323,0.78074,3.18325e-05,3.18325e-05,3.18325e-05
107,663.758,0.47179,0.56411,0.79068,0.89346,0.83929,0.81495,0.73817,0.38357,0.47234,0.78057,2.9869e-05,2.9869e-05,2.9869e-05
108,669.629,0.47264,0.56291,0.79457,0.8938,0.83895,0.81419,0.73793,0.38354,0.47286,0.78049,2.79055e-05,2.79055e-05,2.79055e-05
109,676.206,0.45829,0.54948,0.79359,0.89388,0.83882,0.81377,0.73794,0.38397,0.47227,0.78046,2.5942e-05,2.5942e-05,2.5942e-05
110,681.999,0.45733,0.5411,0.79223,0.89362,0.83718,0.8121,0.73628,0.38355,0.47231,0.78041,2.39785e-05,2.39785e-05,2.39785e-05
111,692.275,0.51927,0.6273,0.79193,0.89642,0.83638,0.81291,0.73704,0.38337,0.47224,0.78046,2.2015e-05,2.2015e-05,2.2015e-05
112,697.539,0.47843,0.58245,0.79523,0.89588,0.83749,0.81439,0.73831,0.38357,0.4722,0.78049,2.00515e-05,2.00515e-05,2.00515e-05
113,702.821,0.45787,0.54533,0.79128,0.89353,0.83802,0.81357,0.73716,0.38285,0.47194,0.78041,1.8088e-05,1.8088e-05,1.8088e-05
114,709.847,0.4604,0.55578,0.79035,0.89481,0.83932,0.81399,0.73772,0.38289,0.47089,0.78026,1.61245e-05,1.61245e-05,1.61245e-05
115,715.097,0.48148,0.58603,0.79364,0.89723,0.83796,0.81475,0.7382,0.38264,0.47117,0.78035,1.4161e-05,1.4161e-05,1.4161e-05
116,721.299,0.47659,0.56858,0.79185,0.896,0.8395,0.81631,0.73979,0.38288,0.46959,0.78025,1.21975e-05,1.21975e-05,1.21975e-05
117,727.174,0.44362,0.52382,0.79135,0.89697,0.83861,0.81458,0.73876,0.38274,0.46901,0.78026,1.0234e-05,1.0234e-05,1.0234e-05
118,732.57,0.46063,0.55151,0.79057,0.89508,0.83905,0.81559,0.73943,0.3829,0.46976,0.78025,8.2705e-06,8.2705e-06,8.2705e-06
119,739.299,0.46245,0.55513,0.79014,0.89483,0.83827,0.81464,0.73857,0.3832,0.47184,0.78038,6.307e-06,6.307e-06,6.307e-06
120,745.481,0.50665,0.62207,0.7942,0.89468,0.83733,0.81334,0.73746,0.38286,0.47069,0.78026,4.3435e-06,4.3435e-06,4.3435e-06
