epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
46,4466.78,0.30203,0.30942,0.79989,0.98753,0.98943,0.99343,0.9841,0.19709,0.143,0.77254,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545
47,4563.52,0.30085,0.30771,0.79902,0.98969,0.98832,0.99362,0.98421,0.19635,0.14211,0.77235,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
48,4658.87,0.30062,0.30825,0.79904,0.98803,0.99062,0.99355,0.98409,0.19635,0.14263,0.77249,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347
49,4754.06,0.29954,0.30343,0.79854,0.98675,0.99113,0.9934,0.98417,0.19613,0.14169,0.77193,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
50,4849.46,0.29765,0.30212,0.79756,0.98423,0.99364,0.99345,0.98429,0.19501,0.13989,0.77235,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149
51,4945.91,0.29619,0.29896,0.79869,0.98951,0.98926,0.99365,0.98452,0.19471,0.13875,0.77293,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
52,5041.63,0.29576,0.30018,0.7993,0.98931,0.99021,0.99364,0.98471,0.19478,0.13878,0.77248,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951
53,5137.89,0.29449,0.2974,0.79932,0.99061,0.98818,0.99358,0.98479,0.19381,0.13817,0.77229,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
54,5233.63,0.29447,0.29737,0.79824,0.99191,0.98709,0.99367,0.98518,0.1933,0.13649,0.77234,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753
55,5328.67,0.29185,0.29334,0.79752,0.98573,0.99392,0.99377,0.98507,0.19271,0.13602,0.77216,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654
56,5424.2,0.29253,0.2929,0.7982,0.99223,0.98934,0.99392,0.98521,0.19218,0.13498,0.77198,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555
57,5520.17,0.29146,0.28959,0.7984,0.99365,0.98777,0.99393,0.9853,0.19192,0.13457,0.77214,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456
58,5614.78,0.29102,0.2912,0.79889,0.99243,0.98932,0.99396,0.98535,0.19158,0.13373,0.77261,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357
59,5710.76,0.29,0.28735,0.79785,0.99186,0.99042,0.99404,0.98549,0.19149,0.13282,0.77218,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258
60,5807.44,0.28768,0.2866,0.79838,0.99149,0.99106,0.99407,0.98567,0.19093,0.13246,0.77273,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159
61,5902.32,0.28738,0.28563,0.79712,0.99271,0.99109,0.99416,0.98581,0.19096,0.13156,0.77257,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
62,5997.51,0.28668,0.28385,0.79802,0.99361,0.98995,0.99421,0.98623,0.19078,0.13135,0.77223,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961
63,6094.03,0.28487,0.28026,0.79677,0.99415,0.98965,0.99425,0.98611,0.19047,0.13083,0.77211,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
64,6187.95,0.28442,0.27842,0.79734,0.9942,0.98954,0.99426,0.98608,0.19019,0.13022,0.77218,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763
65,6281.06,0.28436,0.2779,0.7966,0.99385,0.99019,0.99429,0.98628,0.19002,0.12941,0.7721,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
66,6374.22,0.28157,0.27528,0.79683,0.99378,0.99081,0.99429,0.98644,0.18973,0.12881,0.77212,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565
67,6469.85,0.28125,0.27811,0.79697,0.99335,0.99083,0.99427,0.98636,0.18937,0.12862,0.77224,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466
68,6563.61,0.27903,0.27073,0.79689,0.99367,0.99021,0.99425,0.98635,0.18908,0.12865,0.77242,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367
69,6656.27,0.27788,0.27101,0.79567,0.99402,0.98988,0.99428,0.98641,0.18882,0.12799,0.77272,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268
